kind,year_folder,type,slug,date_in_name,modified,size_bytes,path,name,cloudinary_url,upload_status,softr_url
image,2025,ad,brieflee-chat-mockup-grwm-tiktok-challenge-creator-message-thread,2025-09,2025-09-12,471330,images/2025/brieflee_ad_brieflee-chat-mockup-grwm-tiktok-challenge-creator-message-thread_2025-09.png,brieflee_ad_brieflee-chat-mockup-grwm-tiktok-challenge-creator-message-thread_2025-09.png,https://res.cloudinary.com/dchroynzv/image/upload/brieflee_ad_brieflee-chat-mockup-grwm-tiktok-challenge-creator-message-thread_2025-09.png,uploaded,
image,2025,ad,shocked-woman-at-laptop-surrounded-by-shipping-boxes-photo,2025-10,2025-10-24,1314028,images/2025/brieflee_ad_shocked-woman-at-laptop-surrounded-by-shipping-boxes-photo_2025-10.png,brieflee_ad_shocked-woman-at-laptop-surrounded-by-shipping-boxes-photo_2025-10.png,https://res.cloudinary.com/dchroynzv/image/upload/brieflee_ad_shocked-woman-at-laptop-surrounded-by-shipping-boxes-photo_2025-10.png,uploaded,
image,2025,ad,stressed-woman-hands-in-hair-office-lanyard-photo,2025-09,2025-09-12,1639228,images/2025/brieflee_ad_stressed-woman-hands-in-hair-office-lanyard-photo_2025-09.png,brieflee_ad_stressed-woman-hands-in-hair-office-lanyard-photo_2025-09.png,https://res.cloudinary.com/dchroynzv/image/upload/brieflee_ad_stressed-woman-hands-in-hair-office-lanyard-photo_2025-09.png,uploaded,
image,2025,ad,stressed-woman-hands-on-head-laptop-photo,2025-09,2025-09-12,1818172,images/2025/brieflee_ad_stressed-woman-hands-on-head-laptop-photo_2025-09.png,brieflee_ad_stressed-woman-hands-on-head-laptop-photo_2025-09.png,https://res.cloudinary.com/dchroynzv/image/upload/brieflee_ad_stressed-woman-hands-on-head-laptop-photo_2025-09.png,uploaded,
image,2025,ad-before-after,before-after-ugc-ad-creative-v3,2025-09,2025-09-11,242695,images/2025/brieflee_ad-before-after_before-after-ugc-ad-creative-v3_2025-09.png,brieflee_ad-before-after_before-after-ugc-ad-creative-v3_2025-09.png,https://res.cloudinary.com/dchroynzv/image/upload/brieflee_ad-before-after_before-after-ugc-ad-creative-v3_2025-09.png,uploaded,
image,2025,app-icon,app-icon-blue-gradient-smiley-mark-v2,2025-04,2025-04-11,8745,images/2025/brieflee_app-icon_app-icon-blue-gradient-smiley-mark-v2_2025-04.png,brieflee_app-icon_app-icon-blue-gradient-smiley-mark-v2_2025-04.png,https://res.cloudinary.com/dchroynzv/image/upload/brieflee_app-icon_app-icon-blue-gradient-smiley-mark-v2_2025-04.png,uploaded,
image,2025,app-icon,app-icon-blue-gradient-smiley-mark-v3,2025-04,2025-04-11,10776,images/2025/brieflee_app-icon_app-icon-blue-gradient-smiley-mark-v3_2025-04.png,brieflee_app-icon_app-icon-blue-gradient-smiley-mark-v3_2025-04.png,https://res.cloudinary.com/dchroynzv/image/upload/brieflee_app-icon_app-icon-blue-gradient-smiley-mark-v3_2025-04.png,uploaded,
image,2025,app-icon,app-icon-blue-gradient-smiley-mark-v4,2025-04,2025-04-10,14908,images/2025/brieflee_app-icon_app-icon-blue-gradient-smiley-mark-v4_2025-04.png,brieflee_app-icon_app-icon-blue-gradient-smiley-mark-v4_2025-04.png,https://res.cloudinary.com/dchroynzv/image/upload/brieflee_app-icon_app-icon-blue-gradient-smiley-mark-v4_2025-04.png,uploaded,
image,2025,app-icon,app-icon-blue-gradient-smiley-mark-v5,2025-04,2025-04-10,25168,images/2025/brieflee_app-icon_app-icon-blue-gradient-smiley-mark-v5_2025-04.png,brieflee_app-icon_app-icon-blue-gradient-smiley-mark-v5_2025-04.png,https://res.cloudinary.com/dchroynzv/image/upload/brieflee_app-icon_app-icon-blue-gradient-smiley-mark-v5_2025-04.png,uploaded,
image,2025,asset,blank-white-square,2025-07,2025-07-27,1602,images/2025/brieflee_asset_blank-white-square_2025-07.png,brieflee_asset_blank-white-square_2025-07.png,https://res.cloudinary.com/dchroynzv/image/upload/brieflee_asset_blank-white-square_2025-07.png,uploaded,
image,2025,asset,brand-asset-marketing-image,2025-10,2025-10-24,1321507,images/2025/brieflee_asset_brand-asset-marketing-image_2025-10.png,brieflee_asset_brand-asset-marketing-image_2025-10.png,https://res.cloudinary.com/dchroynzv/image/upload/brieflee_asset_brand-asset-marketing-image_2025-10.png,uploaded,
image,2025,brand,made-with-brieflee-badge-blue,2025-03,2025-03-05,11992,images/2025/brieflee_brand_made-with-brieflee-badge-blue_2025-03.svg,brieflee_brand_made-with-brieflee-badge-blue_2025-03.svg,https://res.cloudinary.com/dchroynzv/image/upload/brieflee_brand_made-with-brieflee-badge-blue_2025-03.svg,uploaded,
